system:index,urban_class,.geo
"4290,1585_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08413879605449,28.485334818076595]}"
"4291,1585_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1025115902491,28.485334818076595]}"
"4292,1585_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11980363184402,28.485334818076595]}"
"4293,1585_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13817642603863,28.485334818076595]}"
"4294,1585_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.15654922023323,28.485334818076595]}"
"4295,1585_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.17384126182814,28.485334818076595]}"
"4296,1585_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.19221405602275,28.485334818076595]}"
"4297,1585_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21058685021735,28.485334818076595]}"
"4298,1585_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.22787889181228,28.485334818076595]}"
"4299,1585_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.24625168600687,28.485334818076595]}"
"4300,1585_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.2635437276018,28.485334818076595]}"
"4301,1585_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.2819165217964,28.485334818076595]}"
"4302,1585_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30028931599101,28.485334818076595]}"
"4303,1585_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.31758135758592,28.485334818076595]}"
"4304,1585_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.33595415178053,28.485334818076595]}"
"4305,1585_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.35432694597513,28.485334818076595]}"
"4306,1585_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.37161898757005,28.485334818076595]}"
"4307,1585_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38999178176465,28.485334818076595]}"
"4308,1585_0",21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.40728382335956,28.485334818076595]}"
"4274,1586_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.79715679128724,28.503175261394084]}"
"4275,1586_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.81445064868167,28.503175261394084]}"
"4276,1586_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.83282537216326,28.503175261394084]}"
"4277,1586_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.85120009564484,28.503175261394084]}"
"4278,1586_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.86849395303928,28.503175261394084]}"
"4279,1586_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.88686867652086,28.503175261394084]}"
"4280,1586_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.90416253391531,28.503175261394084]}"
"4281,1586_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.92253725739688,28.503175261394084]}"
"4282,1586_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94091198087845,28.503175261394084]}"
"4283,1586_0",11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9582058382729,28.503175261394084]}"
"4284,1586_0",12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.97658056175449,28.503175261394084]}"
"4285,1586_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.99495528523609,28.503175261394084]}"
"4286,1586_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.01224914263051,28.503175261394084]}"
"4287,1586_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0306238661121,28.503175261394084]}"
"4288,1586_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04791772350652,28.503175261394084]}"
"4289,1586_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0662924469881,28.503175261394084]}"
"4290,1586_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0846671704697,28.503175261394084]}"
"4291,1586_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.10196102786412,28.503175261394084]}"
"4292,1586_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12033575134572,28.503175261394084]}"
"4293,1586_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13762960874016,28.503175261394084]}"
"4294,1586_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.15600433222173,28.503175261394084]}"
"4295,1586_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.17437905570331,28.503175261394084]}"
"4296,1586_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.19167291309776,28.503175261394084]}"
"4297,1586_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21004763657935,28.503175261394084]}"
"4298,1586_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.22842236006092,28.503175261394084]}"
"4299,1586_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.24571621745537,28.503175261394084]}"
"4300,1586_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.26409094093694,28.503175261394084]}"
"4301,1586_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.28138479833137,28.503175261394084]}"
"4302,1586_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.29975952181296,28.503175261394084]}"
"4303,1586_0",30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.31813424529456,28.503175261394084]}"
